model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,6823898353758749145,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-765888408110226152,4.0,2.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,1824341877410284492,13.0,9.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-9095715445349070663,2.0,1.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,0,12.0,8.0,1.0,no,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,-4962768465676381896,8.0,5.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,4804307197456638271,12.0,8.0,1.0,no,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,-1034601897293430941,12.0,8.0,1.0,no,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,7848011421992302230,12.0,8.0,1.0,no,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,-8929183248358367000,8.0,5.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,488730542833106255,12.0,8.0,1.0,no,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,5082315122564986995,12.0,8.0,1.0,no,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,-4023469995120514721,12.0,8.0,1.0,no,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,-652523483647487500,12.0,8.0,1.0,no,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,733208966369662072,12.0,8.0,1.0,no,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,-2859003968966358305,12.0,8.0,1.0,no,4,300,cmaes,
